Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Peclet_Number,Is_Seed_Node,Residual,Abs_Error,Squared_Error
14_J_2_Day_1_LT,14,LC,J,I,Day_1,Neap,LT,62.89,0.98,-0.0169,5.7e-05,0.15,0.15,0.0469,0.0361,0.04447961522795982,70856.06666666667,False,-0.008379615227959818,0.008379615227959818,7.021795136865606e-05
14_J_2_Day_2_HT,14,LC,J,I,Day_2,Spring,HT,62.89,1.09,0.0214,8e-05,0.15,0.15,0.0777,0.0598,0.05418479292558502,89723.06666666665,False,0.005615207074414978,0.005615207074414978,3.153055048856002e-05
14_J_2_Day_2_LT,14,LC,J,I,Day_2,Spring,LT,62.89,0.98,-0.0218,7.3e-05,0.15,0.15,0.0417,0.0321,0.03560518399353241,91400.13333333333,False,-0.003505183993532411,0.003505183993532411,1.2286314828515822e-05
14_J_2_Day_3_HT,14,LC,J,I,Day_3,Spring,HT,62.89,1.09,0.0237,8.8e-05,0.15,0.15,0.0135,0.0104,0.009414073595174852,99366.19999999998,False,0.0009859264048251472,0.0009859264048251472,9.7205087573144e-07
14_J_2_Day_3_LT,14,LC,J,I,Day_3,Spring,LT,62.89,0.98,-0.0185,6.2e-05,0.15,0.15,0.0135,0.0104,0.011719208173152683,77564.33333333333,False,-0.0013192081731526837,0.0013192081731526837,1.7403102041128411e-06
14_K_2_Day_1_HT,14,LC,K,J,Day_1,Neap,HT,70.66,0.42,0.0075,1.1e-05,0.15,0.15,0.0291,0.0224,0.08116116194990076,35329.99999999999,False,-0.05876116194990076,0.05876116194990076,0.003452874153702465
14_K_2_Day_1_LT,14,LC,K,J,Day_1,Neap,LT,70.66,0.37,-0.0077,1e-05,0.15,0.15,0.064,0.0493,0.06940470451942551,36272.13333333333,False,-0.020104704519425518,0.020104704519425518,0.0004041991438134088
14_K_2_Day_2_HT,14,LC,K,J,Day_2,Spring,HT,70.66,0.42,0.0108,1.5e-05,0.15,0.15,0.1309,0.1007,0.0,50875.2,False,0.1007,0.1007,0.01014049
14_K_2_Day_2_LT,14,LC,K,J,Day_2,Spring,LT,70.66,0.37,-0.009,1.1e-05,0.15,0.15,0.1248,0.096,0.15273454284079263,42395.99999999999,False,-0.05673454284079263,0.05673454284079263,0.003218808351353734
14_K_2_Day_3_HT,14,LC,K,J,Day_3,Spring,HT,70.66,0.42,0.0074,1.1e-05,0.15,0.15,0.0645,0.0496,0.0,34858.933333333334,False,0.0496,0.0496,0.00246016
14_K_2_Day_3_LT,14,LC,K,J,Day_3,Spring,LT,70.66,0.37,-0.0069,9e-06,0.15,0.15,0.0027,0.0021,0.01272866438467601,32503.6,False,-0.010628664384676011,0.010628664384676011,0.00011296850660208029
15_I_2_Day_1_HT,15,LC,I,Dutch_Canal,Day_1,Neap,HT,0.0,1.0,0.0227,7.8e-05,0.15,0.15,0.08,0.06,0.06,0.0,True,0.0,0.0,0.0
15_I_2_Day_1_LT,15,LC,I,Dutch_Canal,Day_1,Neap,LT,0.0,0.93,-0.0238,7.6e-05,0.15,0.15,0.06,0.045,0.045,0.0,True,0.0,0.0,0.0
15_J_2_Day_1_HT,15,LC,J,I,Day_1,Neap,HT,64.2,1.0,0.0227,7.8e-05,0.15,0.15,0.0746,0.0574,0.054533212562092676,97156.0,False,0.002866787437907324,0.002866787437907324,8.21847021414324e-06
15_J_2_Day_1_LT,15,LC,J,I,Day_1,Neap,LT,64.2,0.93,-0.0238,7.6e-05,0.15,0.15,0.0559,0.043,0.04925692216732513,101864.00000000001,False,-0.006256922167325131,0.006256922167325131,3.9149075007964616e-05
15_J_2_Day_2_HT,15,LC,J,I,Day_2,Spring,HT,64.2,1.0,0.0244,8.3e-05,0.15,0.15,0.0641,0.0493,0.04412750075385708,104432.0,False,0.005172499246142916,0.005172499246142916,2.675474845134903e-05
15_J_2_Day_2_LT,15,LC,J,I,Day_2,Spring,LT,64.2,0.93,-0.016,5.1e-05,0.15,0.15,0.0621,0.0478,0.05506413306109891,68480.0,False,-0.00726413306109891,0.00726413306109891,5.276762912935022e-05
15_J_2_Day_3_HT,15,LC,J,I,Day_3,Spring,HT,64.2,1.0,0.0172,5.9e-05,0.15,0.15,0.0081,0.0062,0.005392041138126792,73616.0,False,0.0008079588618732075,0.0008079588618732075,6.527975224794487e-07
15_J_2_Day_3_LT,15,LC,J,I,Day_3,Spring,LT,64.2,0.93,-0.0221,7e-05,0.15,0.15,0.1154,0.0888,0.09964674203475979,94588.00000000001,False,-0.010846742034759785,0.010846742034759785,0.00011765181276862484
15_K_2_Day_1_HT,15,LC,K,J,Day_1,Neap,HT,72.43,0.62,0.0132,2.8e-05,0.15,0.15,0.0498,0.0383,0.04220238112181209,63738.4,False,-0.0039023811218120916,0.0039023811218120916,1.5228578419875397e-05
15_K_2_Day_1_LT,15,LC,K,J,Day_1,Neap,LT,72.43,0.58,-0.0109,2.2e-05,0.15,0.15,0.0724,0.0557,0.0657280228826578,52632.46666666667,False,-0.010028022882657806,0.010028022882657806,0.00010056124293510857
15_K_2_Day_2_HT,15,LC,K,J,Day_2,Spring,HT,72.43,0.62,0.0151,3.2e-05,0.15,0.15,0.0498,0.0383,0.033176639298977684,72912.86666666668,False,0.005123360701022317,0.005123360701022317,2.6248824872779887e-05
15_K_2_Day_2_LT,15,LC,K,J,Day_2,Spring,LT,72.43,0.58,-0.0109,2.2e-05,0.15,0.15,0.0333,0.0256,0.06262733957743823,52632.46666666667,False,-0.03702733957743823,0.03702733957743823,0.0013710238761829234
15_K_2_Day_3_HT,15,LC,K,J,Day_3,Spring,HT,72.43,0.62,0.0135,2.9e-05,0.15,0.15,0.051,0.0392,0.0,65187.0,False,0.0392,0.0392,0.00153664
15_K_2_Day_3_LT,15,LC,K,J,Day_3,Spring,LT,72.43,0.58,-0.0126,2.5e-05,0.15,0.15,0.0442,0.034,0.11189487547985773,60841.200000000004,False,-0.07789487547985773,0.07789487547985773,0.00606761162602254
